"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 28 08:29:24 GMT 2023","Tue Mar 28 08:29:28 GMT 2023","4272","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [14] de/, FCA, euro-stoxx50-sx5e-index",""
"passed","Tue Mar 28 09:00:14 GMT 2023","Tue Mar 28 09:00:33 GMT 2023","19222","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleWidgetPromoMarket_clickOnBtnTradeNow_SignUpFormWasAppear","Checking buttons 'Trade Now' (4 items) on module widget promo market [18] de/, FCA, swiss-stock-exchange-20-index",""
"passed","Tue Mar 28 08:50:32 GMT 2023","Tue Mar 28 08:50:41 GMT 2023","8349","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [26] de/, FCA, cboe-volatility-index-futures-oct-22-index",""
"broken","Tue Mar 28 08:39:31 GMT 2023","Tue Mar 28 08:39:35 GMT 2023","4823","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [13] de/, FCA, japan-225-index",""
"passed","Tue Mar 28 09:32:59 GMT 2023","Tue Mar 28 09:33:08 GMT 2023","8950","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [23] de/, FCA, cboe-volatility-index-futures-jul-22-index",""
"broken","Tue Mar 28 08:51:37 GMT 2023","Tue Mar 28 08:51:41 GMT 2023","4522","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [10] de/, FCA, cboe-volatility-index-index",""
"passed","Tue Mar 28 09:18:26 GMT 2023","Tue Mar 28 09:18:35 GMT 2023","8941","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBuy_SignUpFormWasAppear","Check 'Buy' button on trading instrument widget [19] de/, FCA, australia-200-index",""
"broken","Tue Mar 28 08:31:02 GMT 2023","Tue Mar 28 08:31:10 GMT 2023","8314","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [25] de/, FCA, cboe-volatility-index-futures-vxv21-index",""
"passed","Tue Mar 28 08:42:25 GMT 2023","Tue Mar 28 08:42:34 GMT 2023","9709","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleWhyChooseCapitalCom_clickOnBtnTryNow_SignUpFormWasAppear","Checking button 'Try Now' on module 'Why choose Capital.com? Our numbers speak for themselves.' [5] de/, FCA, hong-kong-50-index",""
"passed","Tue Mar 28 09:24:05 GMT 2023","Tue Mar 28 09:24:16 GMT 2023","10755","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [18] de/, FCA, swiss-stock-exchange-20-index",""
"failed","Tue Mar 28 08:53:16 GMT 2023","Tue Mar 28 08:54:46 GMT 2023","90378","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [23] de/, FCA, cboe-volatility-index-futures-jul-22-index",""
"passed","Tue Mar 28 09:05:32 GMT 2023","Tue Mar 28 09:05:41 GMT 2023","8991","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [14] de/, FCA, euro-stoxx50-sx5e-index",""
"broken","Tue Mar 28 09:06:15 GMT 2023","Tue Mar 28 09:06:19 GMT 2023","4414","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [21] de/, FCA, cboe-volatility-index-futures-aug-22-index",""
"passed","Tue Mar 28 09:27:58 GMT 2023","Tue Mar 28 09:28:07 GMT 2023","8854","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [16] de/, FCA, ftse-borsa-italiana-index-40-index",""
"passed","Tue Mar 28 08:31:10 GMT 2023","Tue Mar 28 08:31:25 GMT 2023","14955","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [26] de/, FCA, cboe-volatility-index-futures-oct-22-index",""
"broken","Tue Mar 28 09:08:43 GMT 2023","Tue Mar 28 09:09:09 GMT 2023","25955","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [4] de/, FCA, sp-500-index",""
"broken","Tue Mar 28 08:39:35 GMT 2023","Tue Mar 28 08:39:40 GMT 2023","4564","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [14] de/, FCA, euro-stoxx50-sx5e-index",""
"passed","Tue Mar 28 08:49:22 GMT 2023","Tue Mar 28 08:49:31 GMT 2023","8648","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [18] de/, FCA, swiss-stock-exchange-20-index",""
"passed","Tue Mar 28 09:22:43 GMT 2023","Tue Mar 28 09:22:55 GMT 2023","11861","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [10] de/, FCA, cboe-volatility-index-index",""
"broken","Tue Mar 28 08:48:21 GMT 2023","Tue Mar 28 08:48:26 GMT 2023","4338","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [6] de/, FCA, msci-singapore-index-25-index",""
"passed","Tue Mar 28 08:41:11 GMT 2023","Tue Mar 28 08:41:19 GMT 2023","8712","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [27] de/, FCA, cboe-volatility-index-futures-sept-22-index",""
"passed","Tue Mar 28 09:14:20 GMT 2023","Tue Mar 28 09:14:30 GMT 2023","9484","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticWidget_ClickOnBtnBuy_SignUpFormWasAppear","Check 'Buy' button on trading instrument widget [1] de/, FCA, us-tech-100-index",""
"broken","Tue Mar 28 08:30:55 GMT 2023","Tue Mar 28 08:31:02 GMT 2023","7200","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [24] de/, FCA, cboe-volatility-index-futures-may-2022-index",""
"broken","Tue Mar 28 08:48:53 GMT 2023","Tue Mar 28 08:48:57 GMT 2023","4322","","com.capital.ticTests.EN.indices.CheckRegBtnTests","","com.capital.ticTests.EN.indices.CheckRegBtnTests","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [13] de/, FCA, japan-225-index",""
